*************Target variables in total: 37*************
Number of Fault Insertions: 751
Number of Faulty Executions: 457
,variable_name,max_risk_diff,quantile1,quantile2
20,temp_3,0.91,0,8
11,y_0,0.727,3,0
10,y2_0,0.727,3,0
21,temp_0,0.662,9,0
22,dd_1,0.661,9,0
12,result_val_0,0.52,4,0
17,d_4,0.514,9,0
14,e_4,0.507,9,0
33,result_val_7,0.06896551724137934,0,7
32,t_1,0.04269293924466333,0,8
18,d_1,0.041000000000000036,0,8
15,e_1,0.03300000000000003,0,7
28,result_err_8,0.0,0,0
23,dd_0,0.0,0,0
29,result_err_7,0.0,0,0
27,c0_0,0.0,0,0
31,px_0,0.0,0,0
26,result_val_6,0.0,0,0
30,result_err_6,0.0,0,0
25,t_0,0.0,0,0
24,px11_0,0.0,0,0
34,c0_1,0.0,0,0
35,result_err_10,0.0,0,0
0,n_4,0.0,0,0
19,d_0,0.0,0,0
1,value_2,0.0,0,0
16,e_0,0.0,0,0
13,result_err_0,0.0,0,0
9,return_val_0,0.0,0,0
8,status_0,0.0,0,0
7,result_val_4,0.0,0,0
6,x_4,0.0,0,0
5,count_0,0.0,0,0
4,count_1,0.0,0,0
3,result_err_4,0.0,0,0
2,value_1,0.0,0,0
36,result_err_9,0.0,0,0
