*************Target variables in total: 24*************
Number of Fault Insertions: 508
Number of Faulty Executions: 508
,variable_name,max_risk_diff,quantile1,quantile2
16,m_data_e1_0,1.0,0,1
14,m_data_e2_0,1.0,0,1
19,tmp_0,0.794,7,1
15,m_data_e1_1,0.738,9,4
13,m_data_e2_1,0.383,9,7
0,view_matrix_block_0,0.0,0,0
1,view_matrix_tda_0,0.0,0,0
22,m_tda_2,0.0,0,0
21,size1_0,0.0,0,0
20,m_size2_1,0.0,0,0
18,m_size1_1,0.0,0,0
17,size2_0,0.0,0,0
12,e1_0,0.0,0,0
11,e2_0,0.0,0,0
10,m_block_0,0.0,0,0
9,view_matrix_owner_0,0.0,0,0
8,view_matrix_data_0,0.0,0,0
7,view_matrix_size1_0,0.0,0,0
6,view_matrix_size2_0,0.0,0,0
5,m_tda_0,0.0,0,0
4,m_size2_0,0.0,0,0
3,m_owner_0,0.0,0,0
2,m_size1_0,0.0,0,0
23,m_tda_1,0.0,0,0
