*************Target variables in total: 40*************
Number of Fault Insertions: 1484
Number of Faulty Executions: 934
,variable_name,max_risk_diff,quantile1,quantile2
26,seps_1,0.018181818181818188,2,0
6,y_0,0.009009009009009028,0,4
0,y_2,0.0040000000000000036,2,6
5,y2_0,0.002002002002001957,0,4
19,s_0,0.0010050251256281673,4,0
27,z_0,0.0010050251256281673,0,5
8,e_4,0.0010010010010009784,0,4
9,e_1,0.0010010010010009784,0,6
12,d_1,0.0010010010010009784,0,3
31,result_val_2,0.0,0,0
25,d_5,0.0,0,0
28,stat_ct_0,0.0,0,0
29,stat_cp_0,0.0,0,0
30,sqrty_0,0.0,0,0
33,result_err_9,0.0,0,0
32,result_err_10,0.0,0,0
23,abs_sum_0,0.0,0,0
34,result_err_8,0.0,0,0
35,ampl_0,0.0,0,0
36,stat_ca_0,0.0,0,0
37,e2_0,0.0,0,0
38,ceps_0,0.0,0,0
24,sy_0,0.0,0,0
20,result_val_0,0.0,0,0
22,ceps_1,0.0,0,0
21,result_err_1,0.0,0,0
1,result_val_1,0.0,0,0
18,cy_0,0.0,0,0
17,dd_0,0.0,0,0
16,dd_1,0.0,0,0
15,temp_0,0.0,0,0
14,temp_3,0.0,0,0
13,d_0,0.0,0,0
11,d_4,0.0,0,0
10,e_0,0.0,0,0
7,result_err_0,0.0,0,0
4,status_0,0.0,0,0
3,fn_1,0.0,0,0
2,result_err_7,0.0,0,0
39,seps_0,0.0,0,0
