*************Target variables in total: 40*************
Number of Fault Insertions: 983
Number of Faulty Executions: 732
,variable_name,max_risk_diff,quantile1,quantile2
11,d_4,0.3263263263263263,0,6
35,ampl_0,0.2040201005025125,5,2
39,seps_0,0.1320293398533008,0,8
18,cy_0,0.05025125628140703,7,8
26,seps_1,0.02824858757062143,1,6
20,result_val_0,0.02311557788944718,5,0
0,y_2,0.009000000000000008,0,7
24,sy_0,0.005025125628140725,2,1
27,z_0,0.005025125628140614,0,1
30,sqrty_0,0.0030150753768843908,0,6
25,d_5,0.0020100502512563345,5,0
23,abs_sum_0,0.0020100502512563345,0,1
12,d_1,0.002002002002002068,0,1
5,y2_0,0.002002002002001957,4,0
6,y_0,0.002002002002001957,8,0
19,s_0,0.0010050251256281673,9,0
14,temp_3,0.0010010010010009784,0,1
15,temp_0,0.0,0,0
29,stat_cp_0,0.0,0,0
38,ceps_0,0.0,0,0
37,e2_0,0.0,0,0
36,stat_ca_0,0.0,0,0
2,result_err_7,0.0,0,0
34,result_err_8,0.0,0,0
33,result_err_9,0.0,0,0
32,result_err_10,0.0,0,0
31,result_val_2,0.0,0,0
8,e_4,0.0,0,0
9,e_1,0.0,0,0
28,stat_ct_0,0.0,0,0
16,dd_1,0.0,0,0
13,d_0,0.0,0,0
10,e_0,0.0,0,0
7,result_err_0,0.0,0,0
22,ceps_1,0.0,0,0
21,result_err_1,0.0,0,0
1,result_val_1,0.0,0,0
4,status_0,0.0,0,0
17,dd_0,0.0,0,0
3,fn_1,0.0,0,0
